기본 정보,,,,,전투 스텟,,,투사체 설정,,,투사체 세부 설정,,특수 효과,,,,,,
ID,이름,한글 이름,속성,숙련도,공격력,공격 사거리,공격 속도,투사체 프리팹 ID,투사체 타입,비행 궤적,투사체 속도,포물선 높이,스턴 확률,스턴 지속 시간,장판 프리팹 ID,장판 유지 시간,슬로우 비율,지속 데미지,도트 데미지 주기
ID,Name,K_Name,ElementType,Rank,Damage,AttackRange,AttackSpeed,ProjectilePrefabID,ProjectileType,TrajectoryType,ProjectileSpeed,ArcHeight,StunChance,StunDuration,AreaPrefabID,AreaDuration,SlowRate,DotDamage,DotDamageInterval
int,string,string,string,int,int,int,float,int,string,string,float,int,int,float,int,float,int,int,float
101,N_Fire,노말 불,Fire,1,15,5,1,0,Single,Straight,50,0,0,0,0,0,0,0,0
102,N_Water,노말 물,Water,1,5,5,10,0,Floor,Parabolic,50,10,0,0,0,5,20,0,0
103,N_Electric,노말 전기,Electric,1,10,5,0.8,0,Single,Straight,50,0,0,0,0,0,0,0,0
104,N_Ice,노말 얼음,Ice,1,10,5,1,0,Single,Straight,50,0,20,1,0,0,0,0,0
105,N_Poison,노말 독,Poison,1,0,5,10,0,Floor,Parabolic,50,10,0,0,0,5,0,2,1
106,N_Earth,노말 땅,Earth,1,5,5,3,0,Area,Parabolic,50,10,0,0,0,0,0,0,0
111,R_Fire,레어 불,Fire,2,30,8,1,0,Single,Straight,50,0,0,0,0,0,0,0,0
112,R_Water,레어 물,Water,2,10,8,10,0,Floor,Parabolic,50,10,0,0,0,5,20,0,0
113,R_Electric,레어 전기,Electric,2,20,8,0.8,0,Single,Straight,50,0,0,0,0,0,0,0,0
114,R_Ice,레어 얼음,Ice,2,20,8,1,0,Single,Straight,50,0,20,1,0,0,0,0,0
115,R_Poison,레어 독,Poison,2,0,8,10,0,Floor,Parabolic,50,10,0,0,0,5,0,2,1
116,R_Earth,레어 땅,Earth,2,10,8,3,0,Area,Parabolic,50,10,0,0,0,0,0,0,0
121,E_Fire,에픽 불,Fire,3,60,12,1,0,Single,Straight,50,0,0,0,0,0,0,0,0
122,E_Water,에픽 물,Water,3,20,12,10,0,Floor,Parabolic,50,10,0,0,0,5,20,0,0
123,E_Electric,에픽 전기,Electric,3,40,12,0.8,0,Single,Straight,50,0,0,0,0,0,0,0,0
124,E_Ice,에픽 얼음,Ice,3,40,12,1,0,Single,Straight,50,0,20,1,0,0,0,0,0
125,E_Poison,에픽 독,Poison,3,0,12,10,0,Floor,Parabolic,50,10,0,0,0,5,0,2,1
126,E_Earth,에픽 땅,Earth,3,20,12,3,0,Area,Parabolic,50,10,0,0,0,0,0,0,0
