기본 정보,,,,,
스테이지ID,웨이브ID,소환 주기(s),적ID,마릿수,길 인덱스
StageID,WaveID,SpawnCycle,EnemyID,SpawnCount,PathIndex
int,int,int,int,int,int
501,601,1,201,1,0
501,601,1,202,0,0
501,601,1,203,0,0
501,601,1,204,0,0
501,601,1,205,0,0
501,601,1,206,0,0
501,602,1,201,3,0
501,602,1,202,0,0
501,602,1,203,0,0
501,602,1,204,0,0
501,602,1,205,0,0
501,602,1,206,0,0
501,603,1,201,3,0
501,603,1,202,1,0
501,603,1,203,0,0
501,603,1,204,0,0
501,603,1,205,0,0
501,603,1,206,0,0
501,604,1,201,3,0
501,604,1,202,2,0
501,604,1,203,0,0
501,604,1,204,0,0
501,604,1,205,0,0
501,604,1,206,0,0
501,605,1,201,3,0
501,605,1,202,2,0
501,605,1,203,1,0
501,605,1,204,0,0
501,605,1,205,0,0
501,605,1,206,0,0
501,606,1,201,3,0
501,606,1,202,2,0
501,606,1,203,2,0
501,606,1,204,0,0
501,606,1,205,0,0
501,606,1,206,0,0
501,607,1,201,3,0
501,607,1,202,2,0
501,607,1,203,3,0
501,607,1,204,0,0
501,607,1,205,0,0
501,607,1,206,0,0
501,608,1,201,3,0
501,608,1,202,2,0
501,608,1,203,3,0
501,608,1,204,1,0
501,608,1,205,0,0
501,608,1,206,0,0
501,609,1,201,3,0
501,609,1,202,2,0
501,609,1,203,3,0
501,609,1,204,3,0
501,609,1,205,0,0
501,609,1,206,0,0
501,610,1,201,3,0
501,610,1,202,2,0
501,610,1,203,3,0
501,610,1,204,3,0
501,610,1,205,0,0
501,610,1,206,1,0
501,611,1,201,3,0
501,611,1,202,3,0
501,611,1,203,4,0
501,611,1,204,4,0
501,611,1,205,0,0
501,611,1,206,0,0
501,612,1,201,3,0
501,612,1,202,3,0
501,612,1,203,4,0
501,612,1,204,5,0
501,612,1,205,0,0
501,612,1,206,0,0
501,613,1,201,3,0
501,613,1,202,3,0
501,613,1,203,6,0
501,613,1,204,5,0
501,613,1,205,0,0
501,613,1,206,0,0
501,614,1,201,3,0
501,614,1,202,3,0
501,614,1,203,6,0
501,614,1,204,7,0
501,614,1,205,0,0
501,614,1,206,0,0
501,615,1,201,3,0
501,615,1,202,5,0
501,615,1,203,6,0
501,615,1,204,7,0
501,615,1,205,0,0
501,615,1,206,1,0
502,701,1,201,5,0
502,701,1,202,0,0
502,701,1,203,0,0
502,701,1,204,0,0
502,701,1,205,0,0
502,701,1,206,0,0
502,702,1,201,5,0
502,702,1,202,0,0
502,702,1,203,0,0
502,702,1,204,0,0
502,702,1,205,0,0
502,702,1,206,0,0
502,703,1,201,5,0
502,703,1,202,0,0
502,703,1,203,0,0
502,703,1,204,0,0
502,703,1,205,0,0
502,703,1,206,0,0
502,704,1,201,5,0
502,704,1,202,1,0
502,704,1,203,0,0
502,704,1,204,0,0
502,704,1,205,0,0
502,704,1,206,0,0
502,705,1,201,5,0
502,705,1,202,0,0
502,705,1,203,0,0
502,705,1,204,0,0
502,705,1,205,0,0
502,705,1,206,0,0
502,706,1,201,5,0
502,706,1,202,0,0
502,706,1,203,0,0
502,706,1,204,0,0
502,706,1,205,0,0
502,706,1,206,0,0
502,707,1,201,5,0
502,707,1,202,0,0
502,707,1,203,0,0
502,707,1,204,0,0
502,707,1,205,0,0
502,707,1,206,0,0
502,708,1,201,5,0
502,708,1,202,0,0
502,708,1,203,0,0
502,708,1,204,0,0
502,708,1,205,0,0
502,708,1,206,0,0
502,709,1,201,5,0
502,709,1,202,0,0
502,709,1,203,2,0
502,709,1,204,0,0
502,709,1,205,0,0
502,709,1,206,0,0
502,710,1,201,5,0
502,710,1,202,0,0
502,710,1,203,0,0
502,710,1,204,0,0
502,710,1,205,1,0
502,710,1,206,0,0
502,711,1,201,5,0
502,711,1,202,0,0
502,711,1,203,0,0
502,711,1,204,0,0
502,711,1,205,0,0
502,711,1,206,0,0
502,712,1,201,5,0
502,712,1,202,0,0
502,712,1,203,0,0
502,712,1,204,1,0
502,712,1,205,0,0
502,712,1,206,0,0
502,713,1,201,5,0
502,713,1,202,2,0
502,713,1,203,0,0
502,713,1,204,0,0
502,713,1,205,0,0
502,713,1,206,0,0
502,714,1,201,5,0
502,714,1,202,0,0
502,714,1,203,0,0
502,714,1,204,0,0
502,714,1,205,0,0
502,714,1,206,0,0
502,715,1,201,5,0
502,715,1,202,0,0
502,715,1,203,0,0
502,715,1,204,0,0
502,715,1,205,1,0
502,715,1,206,0,0
502,716,1,201,5,0
502,716,1,202,0,0
502,716,1,203,0,0
502,716,1,204,0,0
502,716,1,205,0,0
502,716,1,206,0,0
502,717,1,201,5,0
502,717,1,202,0,0
502,717,1,203,1,0
502,717,1,204,0,0
502,717,1,205,0,0
502,717,1,206,0,0
502,718,1,201,5,0
502,718,1,202,0,0
502,718,1,203,0,0
502,718,1,204,0,0
502,718,1,205,0,0
502,718,1,206,0,0
502,719,1,201,5,0
502,719,1,202,0,0
502,719,1,203,0,0
502,719,1,204,1,0
502,719,1,205,0,0
502,719,1,206,0,0
502,720,1,201,5,0
502,720,1,202,0,0
502,720,1,203,0,0
502,720,1,204,0,0
502,720,1,205,0,0
502,720,1,206,1,0
503,801,1,201,5,0
503,801,1,202,0,0
503,801,1,203,0,0
503,801,1,204,0,0
503,801,1,205,0,0
503,801,1,206,0,0
503,802,1,201,5,0
503,802,1,202,0,0
503,802,1,203,0,0
503,802,1,204,0,0
503,802,1,205,0,0
503,802,1,206,0,0
503,803,1,201,5,0
503,803,1,202,0,0
503,803,1,203,0,0
503,803,1,204,0,0
